city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Benoni,01-04-2009,Ireland,Scotland,Willowmoore Park,Ireland,field,0,7,Ireland
Barbados,29-03-2009,West Indies,England,"Kensington Oval, Bridgetown",England,field,0,9,England
Barbados,27-03-2009,West Indies,England,"Kensington Oval, Bridgetown",West Indies,field,0,8,West Indies
Guyana,22-03-2009,West Indies,England,Providence Stadium,West Indies,bat,21,0,West Indies
Guyana,20-03-2009,West Indies,England,Providence Stadium,England,bat,1,0,England
Auckland,14-03-2009,New Zealand,India,Eden Park,India,bat,0,8,New Zealand
Hamilton,11-03-2009,New Zealand,India,Seddon Park,New Zealand,bat,84,0,India
Christchurch,08-03-2009,New Zealand,India,AMI Stadium,New Zealand,field,58,0,India
Wellington,06-03-2009,New Zealand,India,Westpac Stadium,India,bat,0,0,
Napier,03-03-2009,New Zealand,India,McLean Park,India,bat,53,0,India
Brisbane,13-02-2009,Australia,New Zealand,"Brisbane Cricket Ground, Woolloongabba",New Zealand,field,0,0,
,10-02-2009,Australia,New Zealand,Adelaide Oval,New Zealand,bat,0,6,Australia
Colombo,08-02-2009,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,68,0,Sri Lanka
,08-02-2009,Australia,New Zealand,Sydney Cricket Ground,New Zealand,field,32,0,Australia
,06-02-2009,Australia,New Zealand,Melbourne Cricket Ground,New Zealand,field,0,6,New Zealand
Colombo,05-02-2009,Sri Lanka,India,R Premadasa Stadium,India,bat,67,0,India
Colombo,03-02-2009,Sri Lanka,India,R Premadasa Stadium,India,bat,147,0,India
Perth,01-02-2009,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,0,2,New Zealand
Colombo,31-01-2009,Sri Lanka,India,R Premadasa Stadium,India,bat,15,0,India
Nairobi,31-01-2009,Kenya,Zimbabwe,Gymkhana Club Ground,Kenya,bat,0,4,Zimbabwe
Perth,30-01-2009,Australia,South Africa,Western Australia Cricket Association Ground,South Africa,bat,39,0,South Africa
