city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
,16-11-2016,Sri Lanka,West Indies,Harare Sports Club,Sri Lanka,field,62,0,West Indies
,14-11-2016,Zimbabwe,Sri Lanka,Harare Sports Club,Sri Lanka,field,0,8,Sri Lanka
Hong Kong,08-11-2016,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Papua New Guinea,bat,0,7,Hong Kong
Hong Kong,06-11-2016,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Papua New Guinea,bat,14,0,Papua New Guinea
Hong Kong,04-11-2016,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok",Hong Kong,bat,106,0,Hong Kong
Visakhapatnam,29-10-2016,India,New Zealand,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,bat,190,0,India
Ranchi,26-10-2016,India,New Zealand,JSCA International Stadium Complex,New Zealand,bat,19,0,New Zealand
Chandigarh,23-10-2016,India,New Zealand,"Punjab Cricket Association Stadium, Mohali",India,field,0,7,India
Delhi,20-10-2016,India,New Zealand,Feroz Shah Kotla,India,field,6,0,New Zealand
Dharmasala,16-10-2016,India,New Zealand,Himachal Pradesh Cricket Association Stadium,India,field,0,6,India
Chittagong,12-10-2016,Bangladesh,England,Zahur Ahmed Chowdhury Stadium,England,field,0,4,England
Cape Town,12-10-2016,South Africa,Australia,Newlands,South Africa,bat,31,0,South Africa
Mirpur,09-10-2016,Bangladesh,England,Shere Bangla National Stadium,England,field,34,0,Bangladesh
Port Elizabeth,09-10-2016,South Africa,Australia,St George's Park,Australia,bat,0,6,South Africa
Mirpur,07-10-2016,Bangladesh,England,Shere Bangla National Stadium,England,bat,21,0,England
Durban,05-10-2016,South Africa,Australia,Kingsmead,Australia,bat,0,4,South Africa
Abu Dhabi,05-10-2016,Pakistan,West Indies,Sheikh Zayed Stadium,Pakistan,bat,136,0,Pakistan
,02-10-2016,Pakistan,West Indies,Sharjah Cricket Stadium,Pakistan,bat,59,0,Pakistan
Johannesburg,02-10-2016,South Africa,Australia,New Wanderers Stadium,Australia,field,142,0,South Africa
Mirpur,01-10-2016,Bangladesh,Afghanistan,Shere Bangla National Stadium,Bangladesh,bat,141,0,Bangladesh
,30-09-2016,Pakistan,West Indies,Sharjah Cricket Stadium,West Indies,field,111,0,Pakistan
Centurion,30-09-2016,South Africa,Australia,SuperSport Park,South Africa,field,0,6,South Africa
Mirpur,28-09-2016,Bangladesh,Afghanistan,Shere Bangla National Stadium,Afghanistan,field,0,2,Afghanistan
Benoni,27-09-2016,Australia,Ireland,Willowmoore Park,Ireland,bat,0,9,Australia
Mirpur,25-09-2016,Bangladesh,Afghanistan,Shere Bangla National Stadium,Bangladesh,bat,7,0,Bangladesh
Benoni,25-09-2016,South Africa,Ireland,Willowmoore Park,Ireland,field,206,0,South Africa
Edinburgh,10-09-2016,Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Scotland,bat,53,0,Scotland
Edinburgh,08-09-2016,Scotland,Hong Kong,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,field,0,0,
,04-09-2016,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,0,5,Australia
Cardiff,04-09-2016,England,Pakistan,Sophia Gardens,Pakistan,field,0,4,Pakistan
Leeds,01-09-2016,England,Pakistan,Headingley,Pakistan,bat,0,4,England
,31-08-2016,Sri Lanka,Australia,Rangiri Dambulla International Stadium,Sri Lanka,bat,0,6,Australia
Nottingham,30-08-2016,England,Pakistan,Trent Bridge,England,bat,169,0,England
,28-08-2016,Sri Lanka,Australia,Rangiri Dambulla International Stadium,Sri Lanka,bat,0,2,Australia
London,27-08-2016,England,Pakistan,Lord's,Pakistan,bat,0,4,England
Southampton,24-08-2016,England,Pakistan,The Rose Bowl,Pakistan,bat,44,0,England
Colombo,24-08-2016,Sri Lanka,Australia,R Premadasa Stadium,Sri Lanka,bat,82,0,Sri Lanka
Colombo,21-08-2016,Sri Lanka,Australia,R Premadasa Stadium,Australia,field,0,3,Australia
Dublin,18-08-2016,Ireland,Pakistan,"The Village, Malahide",Ireland,field,255,0,Pakistan
Edinburgh,16-08-2016,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",United Arab Emirates,bat,0,7,Scotland
Edinburgh,14-08-2016,Scotland,United Arab Emirates,"Grange Cricket Club Ground, Raeburn Place",United Arab Emirates,field,98,0,Scotland
Belfast,19-07-2016,Ireland,Afghanistan,"Civil Service Cricket Club, Stormont",Afghanistan,field,12,0,Ireland
Belfast,17-07-2016,Ireland,Afghanistan,"Civil Service Cricket Club, Stormont",Afghanistan,bat,79,0,Afghanistan
Belfast,12-07-2016,Ireland,Afghanistan,"Civil Service Cricket Club, Stormont",Ireland,field,39,0,Afghanistan
Edinburgh,06-07-2016,Scotland,Afghanistan,"Grange Cricket Club Ground, Raeburn Place",Afghanistan,bat,78,0,Afghanistan
Edinburgh,04-07-2016,Scotland,Afghanistan,"Grange Cricket Club Ground, Raeburn Place",Scotland,field,0,0,
Cardiff,02-07-2016,England,Sri Lanka,Sophia Gardens,Sri Lanka,field,122,0,England
London,29-06-2016,England,Sri Lanka,Kennington Oval,England,field,0,6,England
Barbados,26-06-2016,West Indies,Australia,"Kensington Oval, Bridgetown",Australia,bat,58,0,Australia
Bristol,26-06-2016,England,Sri Lanka,County Ground,England,field,0,0,
Birmingham,24-06-2016,England,Sri Lanka,Edgbaston,Sri Lanka,bat,0,10,England
Barbados,24-06-2016,West Indies,South Africa,"Kensington Oval, Bridgetown",South Africa,field,100,0,West Indies
Nottingham,21-06-2016,England,Sri Lanka,Trent Bridge,England,field,0,0,
Barbados,21-06-2016,West Indies,Australia,"Kensington Oval, Bridgetown",Australia,field,0,6,Australia
Barbados,19-06-2016,Australia,South Africa,"Kensington Oval, Bridgetown",Australia,field,0,0,
Dublin,18-06-2016,Ireland,Sri Lanka,"The Village, Malahide",Ireland,field,136,0,Sri Lanka
St Kitts,15-06-2016,West Indies,South Africa,"Warner Park, Basseterre",West Indies,field,139,0,South Africa
,15-06-2016,Zimbabwe,India,Harare Sports Club,Zimbabwe,bat,0,10,India
St Kitts,13-06-2016,West Indies,Australia,"Warner Park, Basseterre",West Indies,field,0,4,West Indies
,13-06-2016,Zimbabwe,India,Harare Sports Club,India,field,0,8,India
,11-06-2016,Zimbabwe,India,Harare Sports Club,India,field,0,9,India
St Kitts,11-06-2016,Australia,South Africa,"Warner Park, Basseterre",Australia,bat,36,0,Australia
Guyana,07-06-2016,Australia,South Africa,Providence Stadium,South Africa,bat,47,0,South Africa
Guyana,05-06-2016,West Indies,Australia,Providence Stadium,Australia,field,0,6,Australia
Guyana,03-06-2016,West Indies,South Africa,Providence Stadium,South Africa,bat,0,4,West Indies
Cape Town,14-02-2016,South Africa,England,Newlands,South Africa,field,0,5,South Africa
Johannesburg,12-02-2016,South Africa,England,New Wanderers Stadium,South Africa,field,0,1,South Africa
Centurion,09-02-2016,South Africa,England,SuperSport Park,England,bat,0,7,South Africa
Hamilton,08-02-2016,New Zealand,Australia,Seddon Park,Australia,field,55,0,New Zealand
Port Elizabeth,06-02-2016,South Africa,England,St George's Park,South Africa,bat,0,5,England
Wellington,06-02-2016,New Zealand,Australia,Westpac Stadium,New Zealand,bat,0,4,Australia
Bloemfontein,03-02-2016,South Africa,England,Mangaung Oval,England,bat,39,0,England
Auckland,03-02-2016,New Zealand,Australia,Eden Park,Australia,field,159,0,New Zealand
Auckland,31-01-2016,New Zealand,Pakistan,Eden Park,Pakistan,bat,0,3,New Zealand
Wellington,25-01-2016,New Zealand,Pakistan,Basin Reserve,Pakistan,field,70,0,New Zealand
,23-01-2016,Australia,India,Sydney Cricket Ground,India,field,0,6,India
Canberra,20-01-2016,Australia,India,Manuka Oval,Australia,bat,25,0,Australia
,17-01-2016,Australia,India,Melbourne Cricket Ground,Australia,field,0,3,Australia
Brisbane,15-01-2016,Australia,India,"Brisbane Cricket Ground, Woolloongabba",India,bat,0,7,Australia
Perth,12-01-2016,Australia,India,Western Australia Cricket Association Ground,India,bat,0,5,Australia
,06-01-2016,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,Zimbabwe,bat,0,2,Afghanistan
Mount Maunganui,05-01-2016,New Zealand,Sri Lanka,Bay Oval,Sri Lanka,field,36,0,New Zealand
,04-01-2016,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,Zimbabwe,bat,65,0,Zimbabwe
,02-01-2016,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,Zimbabwe,bat,117,0,Zimbabwe
Nelson,02-01-2016,New Zealand,Sri Lanka,Saxton Oval,Sri Lanka,field,0,0,
Nelson,31-12-2015,New Zealand,Sri Lanka,Saxton Oval,New Zealand,bat,0,8,Sri Lanka
,29-12-2015,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,Zimbabwe,bat,0,4,Afghanistan
Christchurch,28-12-2015,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,bat,0,10,New Zealand
Christchurch,26-12-2015,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,bat,0,7,New Zealand
,25-12-2015,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,Afghanistan,bat,49,0,Afghanistan
,20-11-2015,England,Pakistan,Dubai International Cricket Stadium,England,bat,84,0,England
,17-11-2015,England,Pakistan,Sharjah Cricket Stadium,Pakistan,bat,0,6,England
Dubai,16-11-2015,United Arab Emirates,Hong Kong,ICC Academy,Hong Kong,bat,89,0,Hong Kong
Abu Dhabi,13-11-2015,England,Pakistan,Sheikh Zayed Stadium,England,bat,95,0,England
Mirpur,11-11-2015,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,bat,61,0,Bangladesh
Abu Dhabi,11-11-2015,England,Pakistan,Sheikh Zayed Stadium,England,bat,0,6,Pakistan
Mirpur,09-11-2015,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,58,0,Bangladesh
,07-11-2015,Sri Lanka,West Indies,Pallekele International Cricket Stadium,Sri Lanka,field,19,0,Sri Lanka
Mirpur,07-11-2015,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Zimbabwe,field,145,0,Bangladesh
Colombo,04-11-2015,Sri Lanka,West Indies,R Premadasa Stadium,West Indies,bat,0,8,Sri Lanka
Colombo,01-11-2015,Sri Lanka,West Indies,R Premadasa Stadium,Sri Lanka,field,0,1,Sri Lanka
Mumbai,25-10-2015,India,South Africa,Wankhede Stadium,South Africa,bat,214,0,South Africa
Chennai,22-10-2015,India,South Africa,"MA Chidambaram Stadium, Chepauk",India,bat,35,0,India
Bulawayo,22-10-2015,Zimbabwe,Afghanistan,Queens Sports Club,Zimbabwe,bat,0,3,Afghanistan
Rajkot,18-10-2015,India,South Africa,Saurashtra Cricket Association Stadium,South Africa,bat,18,0,South Africa
Bulawayo,18-10-2015,Zimbabwe,Afghanistan,Queens Sports Club,Afghanistan,bat,58,0,Afghanistan
Bulawayo,16-10-2015,Zimbabwe,Afghanistan,Queens Sports Club,Afghanistan,bat,0,8,Zimbabwe
Indore,14-10-2015,India,South Africa,Holkar Cricket Stadium,India,bat,22,0,India
,13-10-2015,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,0,2,Ireland
Kanpur,11-10-2015,India,South Africa,Green Park,South Africa,bat,5,0,South Africa
,11-10-2015,Zimbabwe,Ireland,Harare Sports Club,Zimbabwe,field,0,5,Zimbabwe
,09-10-2015,Zimbabwe,Ireland,Harare Sports Club,Zimbabwe,field,0,2,Zimbabwe
,05-10-2015,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,0,7,Pakistan
,03-10-2015,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,5,0,Zimbabwe
,01-10-2015,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,131,0,Pakistan
Manchester,13-09-2015,England,Australia,Old Trafford,England,bat,0,8,Australia
Leeds,11-09-2015,England,Australia,Headingley,Australia,bat,0,3,England
Manchester,08-09-2015,England,Australia,Old Trafford,England,bat,93,0,England
London,05-09-2015,England,Australia,Lord's,England,field,64,0,Australia
Southampton,03-09-2015,England,Australia,The Rose Bowl,Australia,bat,59,0,Australia
Belfast,27-08-2015,Ireland,Australia,"Civil Service Cricket Club, Stormont",Australia,bat,23,0,Australia
Durban,26-08-2015,South Africa,New Zealand,Kingsmead,South Africa,bat,62,0,South Africa
Potchefstroom,23-08-2015,South Africa,New Zealand,Senwes Park,South Africa,bat,0,8,New Zealand
Centurion,19-08-2015,South Africa,New Zealand,SuperSport Park,New Zealand,field,20,0,South Africa
,07-08-2015,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,38,0,New Zealand
,04-08-2015,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,bat,0,10,New Zealand
,02-08-2015,Zimbabwe,New Zealand,Harare Sports Club,Zimbabwe,field,0,7,Zimbabwe
Hambantota,26-07-2015,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,165,0,Sri Lanka
Colombo,22-07-2015,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,0,7,Pakistan
Colombo,19-07-2015,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,135,0,Pakistan
Chittagong,15-07-2015,Bangladesh,South Africa,Zahur Ahmed Chowdhury Stadium,South Africa,bat,0,9,Bangladesh
,15-07-2015,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,Pakistan,bat,0,2,Sri Lanka
,14-07-2015,Zimbabwe,India,Harare Sports Club,Zimbabwe,field,83,0,India
,12-07-2015,Zimbabwe,India,Harare Sports Club,Zimbabwe,field,62,0,India
Mirpur,12-07-2015,Bangladesh,South Africa,Shere Bangla National Stadium,South Africa,bat,0,7,Bangladesh
,11-07-2015,Sri Lanka,Pakistan,Rangiri Dambulla International Stadium,Pakistan,field,0,6,Pakistan
Mirpur,10-07-2015,Bangladesh,South Africa,Shere Bangla National Stadium,Bangladesh,bat,0,8,South Africa
,10-07-2015,Zimbabwe,India,Harare Sports Club,Zimbabwe,field,4,0,India
Mirpur,24-06-2015,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,field,77,0,India
Mirpur,21-06-2015,Bangladesh,India,Shere Bangla National Stadium,India,bat,0,6,Bangladesh
Chester-le-Street,20-06-2015,England,New Zealand,Riverside Ground,England,field,0,3,England
Mirpur,18-06-2015,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,bat,79,0,Bangladesh
Nottingham,17-06-2015,England,New Zealand,Trent Bridge,New Zealand,bat,0,7,England
Southampton,14-06-2015,England,New Zealand,The Rose Bowl,England,bat,0,3,New Zealand
London,12-06-2015,England,New Zealand,Kennington Oval,New Zealand,bat,13,0,New Zealand
Birmingham,09-06-2015,England,New Zealand,Edgbaston,New Zealand,field,210,0,England
Lahore,31-05-2015,Pakistan,Zimbabwe,Gaddafi Stadium,Pakistan,bat,0,0,
Lahore,29-05-2015,Pakistan,Zimbabwe,Gaddafi Stadium,Pakistan,field,0,6,Pakistan
Lahore,26-05-2015,Pakistan,Zimbabwe,Gaddafi Stadium,Pakistan,bat,41,0,Pakistan
Dublin,08-05-2015,Ireland,England,"The Village, Malahide",England,field,0,0,
Mirpur,22-04-2015,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,0,8,Bangladesh
Mirpur,19-04-2015,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan,bat,0,7,Bangladesh
Mirpur,17-04-2015,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh,bat,79,0,Bangladesh
,29-03-2015,Australia,New Zealand,Melbourne Cricket Ground,New Zealand,bat,0,7,Australia
,26-03-2015,Australia,India,Sydney Cricket Ground,Australia,bat,95,0,Australia
Auckland,24-03-2015,New Zealand,South Africa,Eden Park,South Africa,bat,0,4,New Zealand
Wellington,21-03-2015,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,143,0,New Zealand
,20-03-2015,Australia,Pakistan,Adelaide Oval,Pakistan,bat,0,6,Australia
,19-03-2015,Bangladesh,India,Melbourne Cricket Ground,India,bat,109,0,India
,18-03-2015,South Africa,Sri Lanka,Sydney Cricket Ground,Sri Lanka,bat,0,9,South Africa
,15-03-2015,Ireland,Pakistan,Adelaide Oval,Ireland,bat,0,7,Pakistan
Napier,15-03-2015,United Arab Emirates,West Indies,McLean Park,West Indies,field,0,6,West Indies
Auckland,14-03-2015,India,Zimbabwe,Eden Park,India,field,0,6,India
Hobart,14-03-2015,Australia,Scotland,Bellerive Oval,Australia,field,0,7,Australia
Hamilton,13-03-2015,New Zealand,Bangladesh,Seddon Park,New Zealand,field,0,3,New Zealand
,13-03-2015,Afghanistan,England,Sydney Cricket Ground,England,field,0,9,England
Wellington,12-03-2015,South Africa,United Arab Emirates,Westpac Stadium,United Arab Emirates,field,146,0,South Africa
Hobart,11-03-2015,Scotland,Sri Lanka,Bellerive Oval,Sri Lanka,bat,148,0,Sri Lanka
Hamilton,10-03-2015,India,Ireland,Seddon Park,Ireland,bat,0,8,India
,09-03-2015,Bangladesh,England,Adelaide Oval,England,field,15,0,Bangladesh
,08-03-2015,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,64,0,Australia
Napier,08-03-2015,New Zealand,Afghanistan,McLean Park,Afghanistan,bat,0,6,New Zealand
Hobart,07-03-2015,Ireland,Zimbabwe,Bellerive Oval,Zimbabwe,field,5,0,Ireland
Auckland,07-03-2015,Pakistan,South Africa,Eden Park,South Africa,field,29,0,Pakistan
Perth,06-03-2015,India,West Indies,Western Australia Cricket Association Ground,West Indies,bat,0,4,India
Nelson,05-03-2015,Bangladesh,Scotland,Saxton Oval,Bangladesh,field,0,6,Bangladesh
Napier,04-03-2015,Pakistan,United Arab Emirates,McLean Park,United Arab Emirates,field,129,0,Pakistan
Perth,04-03-2015,Australia,Afghanistan,Western Australia Cricket Association Ground,Afghanistan,field,275,0,Australia
Canberra,03-03-2015,Ireland,South Africa,Manuka Oval,South Africa,bat,201,0,South Africa
Brisbane,01-03-2015,Pakistan,Zimbabwe,"Brisbane Cricket Ground, Woolloongabba",Pakistan,bat,20,0,Pakistan
Wellington,01-03-2015,England,Sri Lanka,Westpac Stadium,England,bat,0,9,Sri Lanka
Perth,28-02-2015,India,United Arab Emirates,Western Australia Cricket Association Ground,United Arab Emirates,bat,0,9,India
Auckland,28-02-2015,New Zealand,Australia,Eden Park,Australia,bat,0,1,New Zealand
,27-02-2015,South Africa,West Indies,Sydney Cricket Ground,South Africa,bat,257,0,South Africa
Dunedin,26-02-2015,Afghanistan,Scotland,University Oval,Afghanistan,field,0,1,Afghanistan
,26-02-2015,Bangladesh,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,bat,92,0,Sri Lanka
Brisbane,25-02-2015,Ireland,United Arab Emirates,"Brisbane Cricket Ground, Woolloongabba",Ireland,field,0,2,Ireland
Canberra,24-02-2015,West Indies,Zimbabwe,Manuka Oval,West Indies,bat,73,0,West Indies
Christchurch,23-02-2015,England,Scotland,Hagley Oval,Scotland,field,119,0,England
Dunedin,22-02-2015,Afghanistan,Sri Lanka,University Oval,Sri Lanka,field,0,4,Sri Lanka
,22-02-2015,India,South Africa,Melbourne Cricket Ground,India,bat,130,0,India
Christchurch,21-02-2015,Pakistan,West Indies,Hagley Oval,Pakistan,field,150,0,West Indies
Wellington,20-02-2015,New Zealand,England,Westpac Stadium,England,bat,0,8,New Zealand
Nelson,19-02-2015,United Arab Emirates,Zimbabwe,Saxton Oval,Zimbabwe,field,0,4,Zimbabwe
Canberra,18-02-2015,Afghanistan,Bangladesh,Manuka Oval,Bangladesh,bat,105,0,Bangladesh
Dunedin,17-02-2015,New Zealand,Scotland,University Oval,New Zealand,field,0,3,New Zealand
Nelson,16-02-2015,Ireland,West Indies,Saxton Oval,Ireland,field,0,4,Ireland
,15-02-2015,India,Pakistan,Adelaide Oval,India,bat,76,0,India
Hamilton,15-02-2015,South Africa,Zimbabwe,Seddon Park,Zimbabwe,field,62,0,South Africa
Christchurch,14-02-2015,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,field,98,0,New Zealand
,14-02-2015,Australia,England,Melbourne Cricket Ground,England,field,111,0,Australia
Napier,03-02-2015,New Zealand,Pakistan,McLean Park,New Zealand,bat,119,0,New Zealand
Perth,01-02-2015,Australia,England,Western Australia Cricket Association Ground,England,field,112,0,Australia
Wellington,31-01-2015,New Zealand,Pakistan,Westpac Stadium,New Zealand,field,0,7,New Zealand
Perth,30-01-2015,England,India,Western Australia Cricket Association Ground,England,field,0,3,England
Wellington,29-01-2015,New Zealand,Sri Lanka,Westpac Stadium,Sri Lanka,bat,34,0,Sri Lanka
Centurion,28-01-2015,South Africa,West Indies,SuperSport Park,West Indies,field,131,0,South Africa
,26-01-2015,Australia,India,Sydney Cricket Ground,Australia,field,0,0,
Dunedin,25-01-2015,New Zealand,Sri Lanka,University Oval,New Zealand,bat,120,0,New Zealand
Port Elizabeth,25-01-2015,South Africa,West Indies,St George's Park,West Indies,field,0,1,West Indies
Hobart,23-01-2015,Australia,England,Bellerive Oval,Australia,field,0,3,Australia
Dunedin,23-01-2015,New Zealand,Sri Lanka,University Oval,Sri Lanka,field,108,0,New Zealand
East London,21-01-2015,South Africa,West Indies,Buffalo Park,West Indies,bat,0,9,South Africa
Brisbane,20-01-2015,England,India,"Brisbane Cricket Ground, Woolloongabba",India,bat,0,9,England
Nelson,20-01-2015,New Zealand,Sri Lanka,Saxton Oval,Sri Lanka,bat,0,4,New Zealand
,18-01-2015,Australia,India,Melbourne Cricket Ground,India,bat,0,4,Australia
Johannesburg,18-01-2015,South Africa,West Indies,New Wanderers Stadium,West Indies,field,148,0,South Africa
Auckland,17-01-2015,New Zealand,Sri Lanka,Eden Park,Sri Lanka,field,0,0,
,17-01-2015,Afghanistan,Ireland,Dubai International Cricket Stadium,Ireland,field,71,0,Afghanistan
,16-01-2015,Australia,England,Sydney Cricket Ground,England,bat,0,3,Australia
Durban,16-01-2015,South Africa,West Indies,Kingsmead,South Africa,bat,61,0,South Africa
Hamilton,15-01-2015,New Zealand,Sri Lanka,Seddon Park,New Zealand,bat,0,6,Sri Lanka
Abu Dhabi,14-01-2015,Afghanistan,Scotland,Sheikh Zayed Stadium,Scotland,bat,150,0,Scotland
,12-01-2015,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,field,0,3,Ireland
Christchurch,11-01-2015,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,bat,0,3,New Zealand
